tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deployment-id,manipulation-type,study-site
YL164_BL255,YL164_BL255,Cervus elaphus,2010-03-19 01:01:00.000,,adult,f,ssp. canadensis,collar,YL164_BL255,none,"Banff National Park, Canada"
BL234,BL234,Cervus elaphus,2010-03-19 01:57:00.000,,adult,f,ssp. canadensis,collar,BL234,none,"Banff National Park, Canada"
BL201,BL201,Cervus elaphus,2010-03-19 02:05:00.000,,adult,f,ssp. canadensis,collar,BL201,none,"Banff National Park, Canada"
YL130_OR9,YL130_OR9,Cervus elaphus,2010-03-19 02:47:00.000,,adult,f,ssp. canadensis,collar,YL130_OR9,none,"Banff National Park, Canada"
OR78,OR78,Cervus elaphus,2013-02-18 03:00:00.000,,adult,f,ssp. canadensis,collar,OR78,none,"Banff National Park, Canada"
OR77,OR77,Cervus elaphus,2013-02-19 00:00:00.000,,adult,f,ssp. canadensis,collar,OR77,none,"Banff National Park, Canada"
OR81,OR81,Cervus elaphus,2013-02-19 01:00:00.000,,adult,f,ssp. canadensis,collar,OR81,none,"Banff National Park, Canada"
OR80,OR80,Cervus elaphus,2013-02-19 01:01:00.000,,adult,f,ssp. canadensis,collar,OR80,none,"Banff National Park, Canada"
OR79,OR79,Cervus elaphus,2013-02-19 01:01:00.000,,adult,f,ssp. canadensis,collar,OR79,none,"Banff National Park, Canada"
OR84,OR84,Cervus elaphus,2013-03-03 01:01:00.000,,adult,f,ssp. canadensis,collar,OR84,none,"Banff National Park, Canada"
YL116_OR83,YL116_OR83,Cervus elaphus,2013-03-03 05:00:00.000,,adult,f,ssp. canadensis,collar,YL116_OR83,none,"Banff National Park, Canada"
OR85,OR85,Cervus elaphus,2013-03-05 01:01:00.000,,adult,f,ssp. canadensis,collar,OR85,none,"Banff National Park, Canada"
YL133_OR87,YL133_OR87,Cervus elaphus,2013-03-05 02:15:00.000,,adult,f,ssp. canadensis,collar,YL133_OR87,none,"Banff National Park, Canada"
OR89,OR89,Cervus elaphus,2013-03-05 21:00:00.000,,adult,f,ssp. canadensis,collar,OR89,none,"Banff National Park, Canada"
OR88,OR88,Cervus elaphus,2013-03-06 01:00:00.000,,adult,f,ssp. canadensis,collar,OR88,none,"Banff National Park, Canada"
OR90,OR90,Cervus elaphus,2013-03-06 05:02:00.000,,adult,f,ssp. canadensis,collar,OR90,none,"Banff National Park, Canada"
OR92,OR92,Cervus elaphus,2013-03-07 08:01:00.000,,adult,f,ssp. canadensis,collar,OR92,none,"Banff National Park, Canada"
OR94,OR94,Cervus elaphus,2013-03-08 01:01:00.000,,adult,f,ssp. canadensis,collar,OR94,none,"Banff National Park, Canada"
OR93,OR93,Cervus elaphus,2013-03-08 04:00:00.000,,adult,f,ssp. canadensis,collar,OR93,none,"Banff National Park, Canada"
OR99,OR99,Cervus elaphus,2013-03-22 15:06:00.000,,adult,f,ssp. canadensis,collar,OR99,none,"Banff National Park, Canada"
OR41,OR41,Cervus elaphus,2013-03-22 23:00:00.000,,adult,f,ssp. canadensis,collar,OR41,none,"Banff National Park, Canada"
OR98,OR98,Cervus elaphus,2013-03-23 08:00:00.000,,adult,f,ssp. canadensis,collar,OR98,none,"Banff National Park, Canada"
OR97,OR97,Cervus elaphus,2013-03-23 08:00:00.000,,adult,f,ssp. canadensis,collar,OR97,none,"Banff National Park, Canada"
OR100,OR100,Cervus elaphus,2013-03-24 06:01:00.000,,adult,f,ssp. canadensis,collar,OR100,none,"Banff National Park, Canada"
YL115_OR34,YL115_OR34,Cervus elaphus,2014-02-23 01:01:00.000,,adult,f,ssp. canadensis,collar,YL115_OR34,none,"Banff National Park, Canada"
